t_s,Tf_K
4620.24137175,383.00023231
4673.79510799,383.00021890
4727.96959160,383.00020620
4782.77201773,383.00019418
4838.20966493,383.00018281
4894.28989611,383.00017204
4951.02015956,383.00016186
5008.40798985,383.00015224
5066.46100892,383.00014314
5125.18692705,383.00013455
5184.59354389,383.00012643
5244.68874950,383.00011876
5305.48052537,383.00011152
5366.97694554,383.00010469
5429.18617762,383.00009825
5492.11648389,383.00009217
5555.77622240,383.00008645
5620.17384808,383.00008105
5685.31791387,383.00007596
5751.21707184,383.00007117
5817.88007434,383.00006666
5885.31577519,383.00006241
5953.53313081,383.00005842
6022.54120146,383.00005466
6092.34915240,383.00005113
6162.96625513,383.00004781
6234.40188863,383.00004469
6306.66554057,383.00004176
6379.76680861,383.00003900
6453.71540165,383.00003642
6528.52114113,383.00003400
6604.19396233,383.00003172
6680.74391570,383.00002959
6758.18116816,383.00002759
6836.51600451,383.00002572
6915.75882874,383.00002397
6995.92016544,383.00002232
7077.01066118,383.00002079
7159.04108596,383.00001935
7242.02233461,383.00001800
7325.96542822,383.00001674
7410.88151564,383.00001557
7496.78187497,383.00001447
7583.67791500,383.00001344
7671.58117678,383.00001249
7760.50333513,383.00001159
7850.45620020,383.00001076
7941.45171903,383.00000998
8033.50197712,383.00000926
8126.61920009,383.00000858
8220.81575524,383.00000795
8316.10415323,383.00000736
8412.49704974,383.00000682
8510.00724712,383.00000631
8608.64769615,383.00000584
8708.43149769,383.00000540
8809.37190447,383.00000499
8911.48232284,383.00000461
9014.77631452,383.00000426
9119.26759846,383.00000394
9224.97005259,383.00000363
9331.89771573,383.00000335
9440.06478942,383.00000309
9549.48563979,383.00000285
9660.17479952,383.00000263
9772.14696973,383.00000242
9885.41702192,383.00000223
10000.00000000,383.00000205
