t_s,Tf_K
27633.85290053,373.00002739
28018.66556459,373.00002515
28408.83690183,373.00002309
28804.44153396,373.00002118
29205.55512183,373.00001942
29612.25437988,373.00001780
30024.61709086,373.00001630
30442.72212064,373.00001492
30866.64943337,373.00001366
31296.48010671,373.00001249
31732.29634735,373.00001141
32174.18150676,373.00001043
32622.22009712,373.00000952
33076.49780744,373.00000869
33537.10152003,373.00000792
34004.11932704,373.00000722
34477.64054734,373.00000658
34957.75574363,373.00000599
35444.55673970,373.00000545
35938.13663805,373.00000495
36438.58983764,373.00000450
36946.01205199,373.00000409
37460.50032749,373.00000371
37982.15306191,373.00000337
38511.07002326,373.00000305
39047.35236886,373.00000277
39591.10266468,373.00000251
40142.42490499,373.00000227
40701.42453219,373.00000205
41268.20845703,373.00000185
41842.88507902,373.00000168
42425.56430718,373.00000151
43016.35758107,373.00000137
43615.37789208,373.00000123
44222.73980506,373.00000111
44838.55948021,373.00000100
45462.95469532,373.00000090
46096.04486828,373.00000081
46737.95107992,373.00000073
47388.79609718,373.00000065
48048.70439655,373.00000059
48717.80218795,373.00000053
49396.21743878,373.00000047
50084.07989848,373.00000042
50781.52112328,373.00000038
51488.67450137,373.00000034
52205.67527847,373.00000030
52932.66058361,373.00000027
53669.76945540,373.00000024
54417.14286866,373.00000022
55174.92376129,373.00000019
55943.25706169,373.00000017
56722.28971645,373.00000015
57512.17071842,373.00000014
58313.05113526,373.00000012
59125.08413832,373.00000011
59948.42503189,373.00000010
60783.23128297,373.00000008
61629.66255133,373.00000007
62487.88072007,373.00000007
63358.04992658,373.00000006
64240.33659394,373.00000005
65134.90946273,373.00000005
66041.93962330,373.00000004
66961.60054853,373.00000004
67894.06812696,373.00000003
68839.52069645,373.00000003
69798.13907831,373.00000002
70770.10661182,373.00000002
71755.60918937,373.00000002
72754.83529196,373.00000002
73767.97602528,373.00000001
74795.22515622,373.00000001
75836.77914997,373.00000001
76892.83720758,373.00000001
77963.60130405,373.00000001
79049.27622696,373.00000001
80150.06961565,373.00000001
81266.19200092,373.00000001
82397.85684529,373.00000001
83545.28058383,373.00000000
84708.68266557,373.00000000
85888.28559546,373.00000000
87084.31497691,373.00000000
88296.99955494,373.00000000
89526.57125996,373.00000000
90773.26525210,373.00000000
92037.31996618,373.00000000
93318.97715733,373.00000000
94618.48194722,373.00000000
95936.08287093,373.00000000
97272.03192451,373.00000000
98626.58461313,373.00000000
100000.00000000,373.00000000
